project_code,yard_name,packing_count,source
2512014,H02,5,jeil_actual
2512021,G07,1,jeil_actual
2512021,A01,17,jeil_actual
2512021,H02,7,jeil_actual
2512021,H01,2,jeil_actual
2512021,G06,7,jeil_actual
2512023,H17,29,jeil_actual
2512026,G09,1,jeil_actual
2512027,A01,9,jeil_actual
2512027,G04,1,jeil_actual
2512040,G03,6,jeil_actual
2512048,G02,1,jeil_actual
2601012,G05,3,jeil_actual
2601014,D08,18,jeil_actual
2601014,A08,18,jeil_actual
2601015,C06,10,jeil_actual
2601017,G03,1,jeil_actual
2601017,G08,3,jeil_actual
2601018,H04,4,jeil_actual
2601019,G01,3,jeil_actual
2601019,F01,1,jeil_actual
2601020,G08,2,jeil_actual
2601021,C06,30,jeil_actual
2601021,D02,34,jeil_actual
2601021,D06,45,jeil_actual
2601021,D01,7,jeil_actual
2601022,D03,11,jeil_actual
2601022,G05,4,jeil_actual
2601023,A08,21,jeil_actual
2601023,A07,8,jeil_actual
2601024,G05,4,jeil_actual
2601026,G09,1,jeil_actual
2308002,C03,16,jeil_actual
2406047,C07,6,jeil_actual
2408005,C01,4,jeil_actual
2409024,G04,2,jeil_actual
2410054,E06,3,jeil_actual
2410054,D02,1,jeil_actual
2410054,F03,29,jeil_actual
2411039,H01,8,jeil_actual
2411039,H15,5,jeil_actual
2411040,G09,3,jeil_actual
2411040,G01,1,jeil_actual
2411040,G03,1,jeil_actual
2411040,G07,2,jeil_actual
2412044,G05,8,jeil_actual
2502023,H09,26,jeil_actual
2502023,D01,37,jeil_actual
2502023,A02,70,jeil_actual
2502023,A03,41,jeil_actual
2502023,B01,33,jeil_actual
2502023,G07,3,jeil_actual
2502023,B06,19,jeil_actual
2502023,C06,22,jeil_actual
2502023,D07,24,jeil_actual
2502023,G09,10,jeil_actual
2502023,C03,100,jeil_actual
2502023,A05,30,jeil_actual
2502023,C02,88,jeil_actual
2502023,B02,37,jeil_actual
2502023,A06,6,jeil_actual
2502023,C08,55,jeil_actual
2502023,G10,1,jeil_actual
2502023,E05,5,jeil_actual
2502023,E04,43,jeil_actual
2502023,D04,26,jeil_actual
2502023,B08,49,jeil_actual
2502023,H08,16,jeil_actual
2504035,G07,1,jeil_actual
2504042,D10,11,jeil_actual
2504042,G01,3,jeil_actual
2505001,G08,1,jeil_actual
2505001,A07,4,jeil_actual
2505001,A08,25,jeil_actual
2505001,H07,1,jeil_actual
2505058,F09,11,jeil_actual
2505058,G01,5,jeil_actual
2505058,G05,9,jeil_actual
2505058,A05,5,jeil_actual
2505058,G06,1,jeil_actual
2506027,G04,6,jeil_actual
2506027,G07,2,jeil_actual
2506036,D10,7,jeil_actual
2506036,D09,17,jeil_actual
2506036,G03,11,jeil_actual
2506036,F04,17,jeil_actual
2506036,C01,23,jeil_actual
2506036,B04,25,jeil_actual
2506036,F05,8,jeil_actual
2506036,D01,6,jeil_actual
2506044,E02,11,jeil_actual
2507036,A01,1,jeil_actual
2507036,G05,5,jeil_actual
2507036,G09,3,jeil_actual
2507036,G06,3,jeil_actual
2508048,G05,2,jeil_actual
2508048,G08,7,jeil_actual
2508048,G10,3,jeil_actual
2508048,G03,5,jeil_actual
2509026,G10,1,jeil_actual
2510011,A04,9,jeil_actual
2510011,G10,1,jeil_actual
2510011,A05,15,jeil_actual
2510011,A03,2,jeil_actual
2510011,F10,1,jeil_actual
2510023,G02,2,jeil_actual
2510035,G07,1,jeil_actual
2510036,A01,6,jeil_actual
2511027,B10,9,jeil_actual
2512002,G03,1,jeil_actual
2512005,B10,10,jeil_actual
2512009,G04,2,jeil_actual
2512011,G01,5,jeil_actual
2512011,G04,4,jeil_actual
2512014,H15,18,jeil_actual
2512021,D02,19,jeil_actual
2512021,D01,1,jeil_actual
2512021,D04,16,jeil_actual
2512021,C04,9,jeil_actual
2512023,H14,8,jeil_actual
2512023,H15,94,jeil_actual
2512027,G10,1,jeil_actual
2512027,E02,6,jeil_actual
2601009,A01,1,jeil_actual
2601009,E03,11,jeil_actual
2601014,C06,22,jeil_actual
2601014,C05,20,jeil_actual
2601014,A06,13,jeil_actual
2601014,A05,1,jeil_actual
2601015,D08,14,jeil_actual
2601015,F01,11,jeil_actual
2601021,D05,39,jeil_actual
2601021,E06,14,jeil_actual
2601021,E05,12,jeil_actual
